year	days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
2011	242	8.9770668	0.34	-3.7619628	0.34	5.215104	0.34
2011	243	10.8262444	0.34	-6.8345644	0.34	3.99168	0.34
2011	244	7.5218293	0.34	-3.0584053	0.34	4.463424	0.34
2011	271	6.7546483	0.34	-3.7257112	0.34	3.028937	0.34
2011	272	9.8141029	0.34	-8.1697381	0.34	1.644365	0.34
2011	299	6.7010763	0.34	-5.8586763	0.34	0.8424	0.34
2012	502	9.8563689	0.34	-8.8009065	0.34	1.055462	0.34
2012	530	8.7717836	0.34	-4.7464076	0.34	4.025376	0.34
2012	565	13.1514401	0.34	-8.5394081	0.34	4.612032	0.34
2012	636	7.0086776	0.34	-4.0878639	0.34	2.920814	0.34
2012	671	3.3453888	0.34	-2.2360128	0.34	1.109376	0.34
2013	852	3.4437894	0.34	-3.4774854	0.34	0.0518	0.34
2013	913	11.9163882	0.34	-6.7185642	0.34	5.197824	0.34
2013	934	10.6195466	0.34	-6.2886849	0.34	4.330862	0.34
2013	935	12.1785711	0.34	-7.4663151	0.34	4.712256	0.34
2013	936	12.012357	0.34	-5.539269	0.34	6.473088	0.34
2013	940	9.7622903	0.34	-5.5010423	0.34	4.261248	0.34
2013	991	6.55295	0.34	-2.4531466	0.34	4.099803	0.34
2013	992	0.2090666	0.34	6.0713494	0.34	6.280416	0.34
2013	1033	2.7302578	0.34	-1.7683378	0.34	0.96192	0.34
2013	1034	1.5170111	0.34	-0.3782591	0.34	1.138752	0.34
2014	1263	10.924338	0.34	-6.114738	0.34	4.8096	0.34
2014	1264	7.2102492	0.34	0.6417828	0.34	7.852032	0.34
2014	1286	11.4553044	0.34	-4.5709524	0.34	6.884352	0.34
2014	1287	16.250222	0.34	-8.116526	0.34	8.133696	0.34
2014	1320	14.3561037	0.34	-7.7516877	0.34	6.604416	0.34
2014	1350	9.0190088	0.34	-6.4149128	0.34	2.604096	0.34
2014	1390	0.6514667	0.34	0.6721813	0.34	1.323648	0.34
2014	1391	1.9486028	0.34	-0.1964108	0.34	1.752192	0.34
2014	1434	1.565609	0.34	-1.083497	0.34	0.482112	0.34
2015	1559	1.14048	0.34	-0.663552	0.34	0.476928	0.34
2015	1560	0.642816	0.34	-0.269568	0.34	0.373248	0.34
2015	1630	7.068384	0.34	-3.61584	0.34	3.452544	0.34
2015	1663	10.396512	0.34	-6.184512	0.34	4.212	0.34
2015	1713	6.832512	0.34	-3.167424	0.34	3.665088	0.34
2015	1744	4.852224	0.34	-2.102112	0.34	2.750112	0.34
2015	1745	4.999968	0.34	-1.702944	0.34	3.297024	0.34
2015	1785	1.213056	0.34	0.228096	0.34	1.441152	0.34
2016	1908	0.736128	0.34	-0.383616	0.34	0.352512	0.34
2016	1909	1.026432	0.34	-0.321408	0.34	0.705024	0.34
2016	1959	3.753216	0.34	-2.47536	0.34	1.277856	0.34
2016	1960	2.503872	0.34	-1.679616	0.34	0.824256	0.34
2016	1994	11.885184	0.34	-5.704128	0.34	6.181056	0.34
2016	2025	16.032384	0.34	-7.779456	0.34	8.252928	0.34
2016	2026	12.239424	0.34	-5.85792	0.34	6.381504	0.34
2016	2078	7.7537088	0.34	-4.4637696	0.34	3.2899392	0.34
2016	2118	3.1705344	0.34	-0.8989056	0.34	2.2716288	0.34
2016	2119	2.105568	0.34	-1.0291968	0.34	1.0763712	0.34
2016	2168	0.1404864	0.34	0.033696	0.34	0.1741824	0.34
