days	c10_mn	c10_sd	c15_mn	c15_sd	c25_mn	c25_sd	c50_mn	c50_sd	c75_mn	c75_sd	c100_mn	c100_sd	c150_mn	c150_sd	c180_mn	c180_sd	c200_mn	c200_sd
1269	0.661974415	0.345846208	-9999	-9999	1.716711132	0.902410483	3.745121203	1.10281517	6.750320325	1.640413507	7.46226368	1.764626717	8.386256207	1.838295158	8.134088753	8.134088753	7.756896292	2.328893466
1292	1.848231531	1.306488992	-9999	-9999	1.700418849	0.03695537	4.932502626	1.703837971	-9999	-9999	6.305420781	0.784885722	8.261260611	2.29038092	-9999	-9999	6.754336677	6.754336677
1349	1.163364425	0.264483905	-9999	-9999	2.038491947	0.109095441	5.891749921	0.7699265	4.981117033	0.275138644	6.438430336	0.948782913	7.50339664	1.266457382	-9999	-9999	7.174914123	1.056415114
1558	-9999	-9999	-9999	-9999	-9999	-9999	6.019089022	6.019089022	8.448736098	8.448736098	12.33964451	12.33964451	9.958631183	3.342642247	-9999	-9999	8.781211174	4.264684566
1627	1.198707854	0.703146674	-9999	-9999	1.845340597	0.834740901	6.149324497	3.203887498	8.446718813	0.617186131	9.239291789	0.713168671	11.21005032	1.460901119	-9999	-9999	10.51555197	0.916779404
1663	3.803439342	1.534894304	-9999	-9999	2.374460446	0.792833477	5.466341073	0.731945108	7.713973519	0.341569986	8.038714172	1.314156747	11.01632789	1.708800043	-9999	-9999	10.45120265	1.552147215
1698	0.913039984	0.913039984	-9999	-9999	2.369263365	0.268961285	6.550357574	2.126538697	6.537112697	1.693672475	8.84485599	1.2554584	5.588147396	1.810752273	-9999	-9999	8.645943168	1.640107526
1726	2.168635462	2.168635462	1.665537525	1.665537525	3.020913735	0.200106138	7.481620812	1.457086243	6.322063918	0.275515602	7.385753975	0.64214181	7.840273356	1.466728491	-9999	-9999	9.180937487	0.214192973
1959	-9999	-9999	-9999	-9999	3.36	3.36	8.88	8.88	9.24	9.24	-9999	-9999	8.04	8.04	-9999	-9999	11.52	11.52
1993	-9999	-9999	0.24	0.24	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	11.76	11.76
1998	-9999	-9999	0.36	0.36	2.64	2.64	8.88	8.88	10.56	10.56	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2029	-9999	-9999	-9999	-9999	3.12	3.12	5.88	5.88	8.52	8.52	9	9	9.84	9.84	-9999	-9999	11.28	11.28
2061	-9999	-9999	-9999	-9999	3.48	3.48	6.84	6.84	7.92	7.92	9	9	8.52	8.52	-9999	-9999	10.56	10.56
