days	CH4_flux	CH4_flux_sd
242	0.171072	0.019197806
243	0.12312	0.014991085
244	0.1195776	0.011486048
271	0.094907077	0.016132503
272	0.086832	0.016385927
299	0.038016	0.002443761
502	0.009216	0.001152
530	0.037584	0.00189715
565	0.139968	0.011015422
636	0.02592	0.001437783
671	0.013824	0.001473643
913	0.027648	0.001949447
934	0.097014857	0.01508379
935	0.225504	0.041414102
936	0.204768	0.036279583
940	0.057024	0.003918736
991	0.165888	0.031170391
992	0.241168696	0.04066617
1033	0.043776	0.009830788
1034	0.026784	0.003924916
1263	0.033984	0.004419927
1264	0.010368	0.007082692
1713	0.101088	0.008853365
1744	0.132192	0.029742188
1745	0.101088	0.01296
1785	0.02592	0.005184
1908	0.005184	0.005184
1909	0.005184	0.005184
1959	0.020736	0.020736
1960	0.005184	0.002992984
1994	0.023328	0.006424217
2025	0.082944	0.082944
2078	0.244944	0.060738427
2119	0.133488	0.036626948
