year	days	Foliage	Foliage_sd	FoliageNPP	FNPP_sd	Wood	Wood_sd	WoodNPP	WNPP_sd	Root	Root_sd	RootNPP	RNPP_sd	SoilC	SoilC_sd	Phenology	Pheno_sd
2011	271	296.9	20	-9999	-9999	453.9028	30	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2011	365	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	149	15.09
2012	579	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	377.55	37.7	106	8.08	-9999	-9999	-9999	-9999
2012	636	361.3	20	350.31	51.36080682	469.6468	30	54.46	44.40359275	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2012	731	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	144	9.56
2013	1002	360.1	20	219.94	41.16419835	540.4186	30	53.45	80.67381715	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2013	1096	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	151	12.6
2014	1367	411.1	20	301.35	48.23180006	560.8424	30	112.3	66.66833059	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2014	1461	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	151	11.75
2015	1732	407.2	20	-9999	-9999	550.0062	30	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2015	1826	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	148	15.26
2016	2097	436.02	20	-9999	-9999	601.9058	30	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2016	2192	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	144	14.96
