year	doy	hour	Tair	Tsoil	RH	Rain	WS	PAR	PBOT
2011	1	0	-12.85	0.7325	90.3	0	1.5325	0	96318.80859
2011	1	1	-12.8	0.7275	91.8	0	1.5445	0	96247.22656
2011	1	2	-12.75	0.7225	92.65	0	1.598	0	96175.64453
2011	1	3	-12.5	0.7335	93.6	0	0.759	0	96104.0625
2011	1	4	-12.3	0.733	93.9	0	0.35	0	96047.9375
2011	1	5	-12.6	0.72	93.95	0	0.259	0	95996.96875
2011	1	6	-12.75	0.715	93.35	0	0.527	0	95946
2011	1	7	-15.15	0.6525	89.75	0	0.6195	0	95895.03125
2011	1	8	-17.25	0.5935	88.5	0	0.5445	0	95844.0625
2011	1	9	-18.25	0.6035	88.15	0	0.6045	0.269130435	95793.09375
2011	1	10	-19	0.608	87.45	0	0.5725	2.202608696	95795.51953
2011	1	11	-18.75	0.6435	86.85	0	0.725	5.482608696	95815.75391
2011	1	12	-17.3	0.715	85.95	0	0.555	13.82934783	95835.98828
2011	1	13	-16.05	0.7585	85.4	0	0.728	17.39565217	95856.22266
2011	1	14	-14.45	0.8175	85.05	0	0.964	18.90978261	95876.45703
2011	1	15	-14.35	0.7625	84.65	0	1.0135	15.18913043	95896.69141
2011	1	16	-14.55	0.755	83.6	0	1.0465	12.89130435	95973.84375
2011	1	17	-15.25	0.6775	84.9	0	1.216	4.818478261	96069.96484
2011	1	18	-15.6	0.6485	85.8	0	0.9855	1.34576087	96166.08594
2011	1	19	-15.5	0.6665	87.1	0	1.0505	0	96262.21094
2011	1	20	-15.75	0.6595	86.35	0	1.069	0	96358.33594
2011	1	21	-17.05	0.5855	86.4	0	0.7795	0.024456522	96454.45703
2011	1	22	-18.25	0.555	87.9	0	0.6785	0	96501.3125
2011	1	23	-19.15	0.539	89.2	0	0.5335	0.024456522	96531.74609
2011	2	0	-18	0.613	89.1	0	0.8345	0	96562.17969
2011	2	1	-18.5	0.605	87.75	0	0.603	0.048913043	96592.60938
2011	2	2	-19.05	0.595	88	0	0.6235	0.048913043	96623.04297
2011	2	3	-19	0.627	87.45	0	0.726	0	96653.47656
2011	2	4	-19.45	0.6165	86.5	0	0.654	0	96677.24219
2011	2	5	-19.7	0.616	87	0	0.565	0.049021739	96698.78516
2011	2	6	-20.35	0.59	86.45	0	0.4565	0.024456522	96720.32422
2011	2	7	-22.8	0.4725	83.4	0	0.3675	0.097934783	96741.87109
2011	2	8	-26.2	0.3855	81.5	0	0.2625	0.171521739	96763.41016
2011	2	9	-27.95	0.3865	80.6	0	0.2035	0.735326087	96784.95313
2011	2	10	-29	0.396	80.15	0	0.1805	2.28	96800.05859
2011	2	11	-24	0.5825	85.35	0	0.3485	13.22065217	96813.01953
2011	2	12	-18.15	0.9325	77.715	0	0.4675	20.53043478	96825.97656
2011	2	13	-15.4	1.166	71.85	0	0.575	26.36956522	96838.93359
2011	2	14	-12.85	1.2475	66.73	0	0.603	27.38043478	96851.89453
2011	2	15	-11.65	1.221	64.75	0	0.557	24.23913043	96864.85547
2011	2	16	-12.1	0.8425	69.88	0	0.3965	14.03043478	96902.83984
2011	2	17	-15.75	0.4995	82.75	0	0.2395	3.717391304	96949.16797
2011	2	18	-19.75	0.413	85.05	0	0.1465	1.149891304	96995.49609
2011	2	19	-24.1	0.358	82.5	0	0.117	0.073478261	97041.82422
2011	2	20	-27.1	0.3495	80.75	0	0.11	0.294021739	97088.15234
2011	2	21	-29.1	0.3535	79.48	0	0.1085	0.367717391	97134.47656
2011	2	22	-30.55	0.3615	78.235	0	0.0965	0.441304348	97133.35938
2011	2	23	-31.7	0.3655	77.33	0	0.1105	0.416847826	97116.42969
2011	3	0	-32.65	0.363	76.165	0	0.157	0.3925	97099.5
2011	3	1	-33.5	0.3645	75.275	0	0.1205	0.269891304	97082.56641
2011	3	2	-34.3	0.362	74.075	0	0.1615	0.417173913	97065.63672
2011	3	3	-35	0.358	73.465	0	0.1385	0.417173913	97048.70703
2011	3	4	-35.4	0.361	73.385	0	0.175	0.392717391	97061.12109
2011	3	5	-35.95	0.3635	72.51	0	0.139	0.27	97083.31641
2011	3	6	-36.4	0.359	71.925	0	0.144	0.147282609	97105.51172
2011	3	7	-36.7	0.36	71.545	0	0.1485	0.122826087	97127.70703
2011	3	8	-37.1	0.367	70.94	0	0.1465	0.220978261	97149.90234
2011	3	9	-37.35	0.3505	70.88	0	0.14	0.442065217	97172.09766
2011	3	10	-36.9	0.3665	71.525	0	0.1615	2.70076087	97174.6875
2011	3	11	-31.95	0.54	75.925	0	0.1875	8.888043478	97170.75
2011	3	12	-25.35	0.741	77.555	0	0.232	13.91195652	97166.80469
2011	3	13	-21.05	0.82	77.19	0	0.3445	15.44565217	97162.86719
2011	3	14	-17.55	0.8885	76.67	0	0.5515	20.94565217	97158.92188
2011	3	15	-15.4	0.8595	75.015	0	0.446	17.33152174	97154.98438
2011	3	16	-14.75	0.7765	74.37	0	0.423	13.90108696	97137.55078
2011	3	17	-14.75	0.7085	76.945	0	0.2725	7.95326087	97115.625
2011	3	18	-17.4	0.568	82.2	0	0.0875	1.615543478	97093.69922
2011	3	19	-21.9	0.428	82.85	0	0.09	0.146847826	97071.77344
2011	3	20	-24.2	0.4315	83.05	0	0.078	0.1225	97049.84766
2011	3	21	-25.9	0.432	81.8	0	0.082	0.269456522	97027.91797
