"Model","Treatment","Year","Pool3","MajorPool","Pool","NPP","NEC","Xp","X","Xc","Te","Tebase","B","K","Kbase","Scaler","Scalerrev"
"DALEC","amb",2011,"Plant","Foliage","Labile",146.627279461,12.3078861142714,-66.9628631479696,88.0696316516679,21.1067685036983,0.0604070220462351,0.00495641815039046,0.28313,0.0190326896225429,0.2319635,0.0820503640553056,12.1876363562014
"DALEC","amb",2011,"Plant","Foliage","Foliage",26.707056129,-9.95622559929552,18.0718393829423,136.89555138565,154.967390768593,0.443512638562632,0.0658105164179319,0.05157,0.00306444206295419,0.020652,0.148384759972603,6.73923656435227
"DALEC","amb",2011,"Plant","Root","Root",119.806289798,4.38539829450413e-13,1.13686837721616e-12,319.51399778008,319.513997780081,0.914440744664451,0.914440744664451,0.23134,0.001027299,0.001027299,1,1
"DALEC","amb",2011,"Plant","Wood","Wood",56.029404743,2.43132588714778e-10,1.12896714199451e-09,260.178336395435,260.178336396564,0.744623626298178,0.744623626298178,0.10819,0.00059,0.00059,1,1
"DALEC","amb",2011,"Litter","Litter","Litter",0,-2.33629140457289,-18.7664657062667,91.8761534191269,73.1096877128602,0.209238023181535,0.0525473520741658,0,0.0109852062864405,0.04374193478621,0.251136725893151,3.98189470872318
"DALEC","amb",2011,"Soil","Soil","Soil",0,0.135784200867751,5.11388631369664,12916.8138758577,12921.9277621714,36.9822208962292,9.28759387213625,0,5.57155032294783e-05,0.000221853267503309,0.251136725893151,3.98189470872318
"DALEC","amb",2012,"Plant","Foliage","Labile",149.75764968,6.3691368275206,-66.1802498266686,87.7375682951405,21.5573184684719,0.0605723466605354,0.00495641815039046,0.28313,0.0189807422861027,0.2319635,0.0818264178894642,12.2209920193605
"DALEC","amb",2012,"Plant","Foliage","Foliage",27.27722952,-7.27623310324468,17.3192949720371,140.95597508582,158.275270057857,0.444726209326811,0.0658105164179319,0.05157,0.0030560798004697,0.020652,0.147979847010929,6.75767694182131
"DALEC","amb",2012,"Plant","Root","Root",122.36405424,0.931211853947589,2.47668369473433,322.967045004681,325.443728699415,0.914440744664451,0.914440744664451,0.23134,0.001027299,0.001027299,1,1
"DALEC","amb",2012,"Plant","Wood","Wood",57.22558584,0.671026131625578,3.10746564613123,261.899415154091,265.006880800222,0.744623626298178,0.744623626298178,0.10819,0.00059,0.00059,1,1
"DALEC","amb",2012,"Litter","Litter","Litter",0,7.64847718824804,-18.1859880054847,89.2996897093509,71.1137017038662,0.199817235999011,0.0525473520741658,0,0.0115031260247617,0.04374193478621,0.262977074081967,3.80261284559091
"DALEC","amb",2012,"Soil","Soil","Soil",0,-13.267587932472,-338.808765191945,12907.9517210073,12569.1429558154,35.3171237628167,9.28759387213625,0,5.83423231635442e-05,0.000221853267503309,0.262977074081967,3.80261284559091
"DALEC","amb",2013,"Plant","Foliage","Labile",128.153896351,6.0853769846283,-63.074076659289,81.5216304667991,18.4475538075101,0.0604070221440085,0.00495641815039046,0.28313,0.019032689591737,0.2319635,0.0820503639225007,12.187636375928
"DALEC","amb",2013,"Plant","Foliage","Foliage",23.342268339,-16.5328031402438,3.03517028757307,132.408070193792,135.443240481365,0.443512614864052,0.0658105164179319,0.05157,0.00306444222669909,0.020652,0.14838476790137,6.73923620424902
"DALEC","amb",2013,"Plant","Root","Root",104.712048818,-13.0117940357885,-34.7014362741347,313.960274770782,279.258838496647,0.914440744664451,0.914440744664451,0.23134,0.001027299,0.001027299,1,1
"DALEC","amb",2013,"Plant","Wood","Wood",48.970331813,-6.52470923620293,-30.298162229872,257.696963311832,227.39880108196,0.744623626298178,0.744623626298178,0.10819,0.00059,0.00059,1,1
"DALEC","amb",2013,"Litter","Litter","Litter",0,-7.81174314173133,-28.8713835550363,95.7575037641097,66.8861202090734,0.21902043960709,0.0525473520741658,0,0.0104945586436571,0.04374193478621,0.239919854824658,4.16805854076078
"DALEC","amb",2013,"Soil","Soil","Soil",0,7.44596578323244,-1088.42320239923,12910.3532457623,11821.9300433631,38.711234961875,9.28759387213625,0,5.32270037317698e-05,0.000221853267503309,0.239919854824658,4.16805854076078
"DALEC","amb",2014,"Plant","Foliage","Labile",141.154263309,14.8899748808574,-61.3232057783829,81.6421420585164,20.3189362801335,0.0604070218297789,0.00495641815039046,0.28313,0.0190326896907426,0.2319635,0.0820503643493163,12.1876363125295
"DALEC","amb",2014,"Plant","Foliage","Foliage",25.710187401,-8.74107578179727,20.8010389839592,128.382028783136,149.183067767095,0.44351262817096,0.0658105164179319,0.05157,0.00306444213475525,0.020652,0.148384763449315,6.73923640644936
"DALEC","amb",2014,"Plant","Root","Root",115.334395062,-0.255575695559746,-0.68160037641934,308.269404906045,307.587804529625,0.914440744664451,0.914440744664451,0.23134,0.001027299,0.001027299,1,1
"DALEC","amb",2014,"Plant","Wood","Wood",53.938048767,-0.836337181810774,-3.88361821133395,254.350526811288,250.466908599954,0.744623626298178,0.744623626298178,0.10819,0.00059,0.00059,1,1
"DALEC","amb",2014,"Litter","Litter","Litter",0,-12.6791252024801,-22.807065208972,91.8624622655492,69.0553970565772,0.205297699640864,0.0525473520741658,0,0.0111960477474277,0.04374193478621,0.255956847865753,3.90690856032299
"DALEC","amb",2014,"Soil","Soil","Soil",0,-8.93255568508825,-703.433569247105,12908.7770780006,12205.3435087535,36.2857800038524,9.28759387213625,0,5.67848630388647e-05,0.000221853267503309,0.255956847865753,3.90690856032299
"DALEC","amb",2015,"Plant","Foliage","Labile",177.525312987,36.3818252364551,-66.6368950100182,92.1913873129629,25.5544923029447,0.060407022040184,0.00495641815039046,0.28313,0.0190326896244494,0.2319635,0.0820503640635248,12.1876363549805
"DALEC","amb",2015,"Plant","Foliage","Foliage",32.334900543,-1.23961793747932,51.1509722917615,136.471921975483,187.622894267245,0.443512638595388,0.0658105164179319,0.05157,0.00306444206272787,0.020652,0.148384759961644,6.73923656485
"DALEC","amb",2015,"Plant","Root","Root",145.052470266,25.1346864289016,67.0322414406424,319.811343655836,386.843585096479,0.914440744664451,0.914440744664451,0.23134,0.001027299,0.001027299,1,1
"DALEC","amb",2015,"Plant","Wood","Wood",67.836201081,11.9924331680663,55.6881038684297,259.31631257457,315.004416443,0.744623626298178,0.744623626298178,0.10819,0.00059,0.00059,1,1
"DALEC","amb",2015,"Litter","Litter","Litter",0,-20.8240783234484,-7.98776186600064,79.7607892794764,71.7730274134757,0.169660770304443,0.0525473520741658,0,0.0135477567589235,0.04374193478621,0.309720107835616,3.22872159314483
"DALEC","amb",2015,"Soil","Soil","Soil",0,-44.6153386198256,-197.808679353482,12883.4855646363,12685.6768852828,29.9870548833259,9.28759387213625,0,6.87124179348087e-05,0.000221853267503309,0.309720107835616,3.22872159314483
"DALEC","amb",2016,"Plant","Foliage","Labile",203.226155607,29.5419828250866,-78.4927251853481,107.746729684648,29.2540044993001,0.0605723466605354,0.00495641815039046,0.28313,0.0189807422861027,0.2319635,0.0818264178894642,12.2209920193605
"DALEC","amb",2016,"Plant","Foliage","Foliage",37.016115723,4.047422034924,55.6694854824209,159.115366763014,214.784852245435,0.444726209293966,0.0658105164179319,0.05157,0.00305607980069541,0.020652,0.147979847021858,6.75767694132223
"DALEC","amb",2016,"Plant","Root","Root",166.052127426,34.4178031662363,91.53879597756,350.099263856537,441.638059834097,0.914440744664451,0.914440744664451,0.23134,0.001027299,0.001027299,1,1
"DALEC","amb",2016,"Plant","Wood","Wood",77.657040141,18.347789020665,84.9670696520563,274.656159675535,359.623229327591,0.744623626298178,0.744623626298178,0.10819,0.00059,0.00059,1,1
"DALEC","amb",2016,"Litter","Litter","Litter",0,11.3853020017586,-0.713137475075911,75.3855921001538,74.6724546250779,0.154614244612273,0.0525473520741658,0,0.0148661777792867,0.04374193478621,0.339861001849727,2.94237936849889
"DALEC","amb",2016,"Soil","Soil","Soil",0,-63.6581466213513,378.013460770031,12820.1288740596,13198.1423348296,27.3276245923704,9.28759387213625,0,7.539927375731e-05,0.000221853267503309,0.339861001849727,2.94237936849889
"DALEC","amb",2017,"Plant","Foliage","Labile",200.619009628,6.76047321414557,-82.6806981485866,111.559492163444,28.8787940148574,0.0604070221440085,0.00495641815039046,0.28313,0.019032689591737,0.2319635,0.0820503639225007,12.187636375928
"DALEC","amb",2017,"Plant","Foliage","Foliage",36.541243692,-1.77345142941607,30.5500913260499,181.480050104553,212.030141430603,0.443512614896807,0.0658105164179319,0.05157,0.00306444222647277,0.020652,0.148384767890411,6.73923620474675
"DALEC","amb",2017,"Plant","Root","Root",163.921879304,21.1745155882031,56.4707757668692,380.696046345331,437.1668221122,0.914440744664451,0.914440744664451,0.23134,0.001027299,0.001027299,1,1
