Date,GPP
1/1/2011,0.2242
2/1/2011,2.2448
3/1/2011,5.8856
4/1/2011,18.4301
5/1/2011,45.6819
6/1/2011,77.3513
7/1/2011,137.5373
8/1/2011,125.58
9/1/2011,64.5411
10/1/2011,33.8391
11/1/2011,5.3077
12/1/2011,1.2566
1/1/2012,1.1678
2/1/2012,2.1132
3/1/2012,18.6175
4/1/2012,12.327
5/1/2012,58.327
6/1/2012,100.7436
7/1/2012,140.1825
8/1/2012,112.3362
9/1/2012,61.1378
10/1/2012,18.1418
11/1/2012,3.4709
12/1/2012,0.3707
1/1/2013,0.5914
2/1/2013,1.2827
3/1/2013,4.2504
4/1/2013,11.1442
5/1/2013,38.0318
6/1/2013,77.1066
7/1/2013,115.8238
8/1/2013,114.6808
9/1/2013,66.7314
10/1/2013,20.1516
11/1/2013,2.6442
12/1/2013,0.1938
1/1/2014,0.2606
2/1/2014,0.687
3/1/2014,4.9908
4/1/2014,15.935
5/1/2014,52.5401
6/1/2014,91.3728
7/1/2014,126.6962
8/1/2014,111.3719
9/1/2014,66.7469
10/1/2014,23.8526
11/1/2014,2.9816
12/1/2014,1.1138
1/1/2015,0.9881
2/1/2015,0.4287
3/1/2015,11.0243
4/1/2015,27.9383
5/1/2015,59.8352
6/1/2015,109.9784
7/1/2015,144.7458
8/1/2015,124.8141
9/1/2015,97.7686
10/1/2015,35.8674
11/1/2015,11.6666
12/1/2015,1.9544
1/1/2016,1.1844
2/1/2016,3.2674
3/1/2016,15.7491
4/1/2016,28.0718
5/1/2016,90.4415
6/1/2016,119.544
7/1/2016,156.2337
8/1/2016,150.8988
9/1/2016,90.6129
10/1/2016,41.4213
11/1/2016,19.4649
12/1/2016,0.8941
1/1/2017,1.9054
2/1/2017,6.2017
3/1/2017,14.6162
4/1/2017,37.3844
5/1/2017,80.0275
6/1/2017,138.1996
7/1/2017,167.7352
8/1/2017,132.3941
9/1/2017,90.0724
10/1/2017,35.7642
11/1/2017,3.2428
12/1/2017,1.0321
1/1/2018,1.4843
2/1/2018,2.6285
3/1/2018,11.5274
4/1/2018,31.2772
5/1/2018,104.9943
6/1/2018,147.9216
7/1/2018,172.2921
8/1/2018,141.1951
9/1/2018,81.1302
10/1/2018,16.7388
11/1/2018,3.1066
12/1/2018,1.7156
