Date,GPP
1/1/2011,0.2242
2/1/2011,2.2448
3/1/2011,5.8856
4/1/2011,18.4301
5/1/2011,45.6819
6/1/2011,77.3513
7/1/2011,137.5373
8/1/2011,125.58
9/1/2011,64.5411
10/1/2011,33.8391
11/1/2011,5.3077
12/1/2011,1.2566
1/1/2012,1.1678
2/1/2012,2.1132
3/1/2012,18.6175
4/1/2012,12.327
5/1/2012,58.327
6/1/2012,100.7436
7/1/2012,140.1825
8/1/2012,112.3362
9/1/2012,61.1378
10/1/2012,18.1418
11/1/2012,3.4709
12/1/2012,0.3707
1/1/2013,0.5914
2/1/2013,1.2827
3/1/2013,4.2504
4/1/2013,11.1442
5/1/2013,38.0318
6/1/2013,77.1066
7/1/2013,115.8238
8/1/2013,114.6808
9/1/2013,66.7314
10/1/2013,20.1516
11/1/2013,2.6442
12/1/2013,0.1938
1/1/2014,0.2606
2/1/2014,0.687
3/1/2014,4.9908
4/1/2014,15.935
5/1/2014,52.5401
6/1/2014,91.3728
7/1/2014,126.6962
8/1/2014,111.3719
9/1/2014,66.7469
10/1/2014,23.8526
11/1/2014,2.9816
12/1/2014,1.1138
1/1/2015,0.9881
2/1/2015,0.4287
3/1/2015,11.0243
4/1/2015,27.9383
5/1/2015,59.8352
6/1/2015,109.9784
7/1/2015,144.7458
8/1/2015,124.8141
9/1/2015,97.7686
10/1/2015,35.8674
11/1/2015,11.6666
12/1/2015,1.9544
1/1/2016,1.1844
2/1/2016,3.2674
3/1/2016,15.7491
4/1/2016,28.0718
5/1/2016,90.4415
6/1/2016,156.4407
7/1/2016,232.5467
8/1/2016,219.9772
9/1/2016,132.5888
10/1/2016,62.4118
11/1/2016,28.5876
12/1/2016,0.91
1/1/2017,1.9341
2/1/2017,6.3245
3/1/2017,15.8908
4/1/2017,62.4589
5/1/2017,134.3014
6/1/2017,226.8234
7/1/2017,261.1042
8/1/2017,203.1186
9/1/2017,136.4896
10/1/2017,56.412
11/1/2017,3.7379
12/1/2017,1.0923
1/1/2018,1.5715
2/1/2018,2.7823
3/1/2018,12.2363
4/1/2018,52.9602
5/1/2018,177.1445
6/1/2018,233.9493
7/1/2018,268.9597
8/1/2018,213.1239
9/1/2018,121.8245
10/1/2018,24.7337
11/1/2018,4.1458
12/1/2018,1.8178
